"","cluster_fap","n_cells","median_pt","q1_pt","q3_pt"
"1","FAP1",4499,0.0764316829849525,0.0150795320882131,0.183884558921648
"2","FAP3",513,0.140006512022905,0.0538879846453915,0.266657936447263
"3","FAP2",438,0.517620600701648,0.147416424293836,0.823673557597115
