Table S4 Co-expression module assignments,,,,,,,,,,,,,,
gene_name,module,color,kME_pink,kME_blue,kME_grey,kME_yellow,kME_turquoise,kME_brown,kME_red,kME_black,kME_greenyellow,kME_green,kME_purple,kME_magenta
CCL3L1,brown,brown,0.002817163,0.006518196,-0.012479082,-0.019019173,-0.076575871,0.132168779,0.049162871,-0.027774777,-0.020504884,-0.039507475,0.010096147,-0.062014081
GPR183,pink,pink,0.139079995,-0.025946662,-0.034017355,0.051374548,-0.010010489,-0.022409879,-0.042249086,0.048349,-0.032901193,0.033544452,-0.009183984,0.008096721
STAT4,yellow,yellow,0.032933895,0.050440455,-0.096150477,0.220168843,-0.070820949,0.045203553,-0.011385487,0.025792827,-0.027307445,-0.041511509,-0.065486429,-0.068227875
VCAN,brown,brown,-0.17023179,-0.035033684,0.011378073,-0.13865428,-0.224696884,0.436892594,0.145641073,-0.104760533,0.279665306,0.012791341,0.080906123,-0.147271085
BHLHE40,yellow,yellow,0.037000852,0.060186771,-0.212800558,0.479673075,-0.139597119,0.066642843,-0.047554389,0.180319324,-0.063988156,0.01278218,-0.105262273,-0.107193094
SGIP1,brown,brown,-0.008110051,-0.088463172,-0.075874058,0.097895574,-0.121840427,0.189484474,0.036141588,-0.001100272,-0.18439863,0.16261293,0.137696991,-0.076634366
LUCAT1,blue,blue,0.000469127,0.144881439,-0.114096332,0.12102189,-0.200726607,0.235152832,0.119754981,-0.010073577,0.022051448,-0.157358894,-0.056164624,-0.151469367
IL6,brown,brown,0.036535904,-0.040154197,-0.147588094,0.132965586,-0.250877331,0.321718512,0.137970414,-0.029142601,0.035187756,-0.148394171,-0.082013571,-0.137368391
SAMSN1,black,black,0.072500982,0.007167133,-0.010235153,0.000119407,-0.008745661,-0.013099309,-0.01169953,0.060422276,-0.010211931,0.015662527,-0.006545866,-0.002988336
APOE,yellow,yellow,0.050690807,-0.04160236,-0.21166636,0.498363246,-0.142115682,0.043614475,-0.139812874,0.069298222,-0.106500452,0.055341127,-0.130574366,-0.081177391
AC083837.1,yellow,yellow,0.034062936,0.004299372,-0.114934536,0.314077441,-0.056473708,-0.008067268,-0.053882553,0.026361982,-0.033341174,-0.027320044,-0.07077119,-0.048800203
CCL4L2,brown,brown,0.007217181,0.026637175,0.000829556,0.001842549,-0.031156756,0.070120936,0.001502647,0.005938721,0.004994959,0.025335305,0.012236907,-0.028177785
MIR155HG,brown,brown,0.034985735,-0.054050365,-0.055938088,0.085968008,-0.082555303,0.080736999,-0.007319026,0.02052749,-0.064878645,0.055859169,0.036479021,-0.033355946
PDZRN4,greenyellow,greenyellow,-0.039928577,0.092733992,0.013688105,-0.054043533,-0.046925257,0.119609108,0.052398738,-0.050083378,0.26723743,-0.163905253,-0.184822833,-0.112684983
ST6GALNAC3,pink,pink,0.853138094,-0.054108674,-0.178277762,-0.015627459,-0.085757132,-0.098279497,-0.076492568,0.029979194,-0.084153517,-0.036517439,-0.058964142,0.000800097
ROBO2,green,green,-0.031986626,-0.025227227,0.103595568,-0.058432905,0.124623081,-0.060608512,-0.103150882,-0.002532622,0.05340302,0.278089385,0.001074715,0.035509164
LINC01605,yellow,yellow,-0.005282042,-0.053193366,-0.223707717,0.393469742,-0.23695711,0.267822569,-0.048443171,0.010106069,-0.070611191,-0.004510118,-0.03005353,-0.200063228
KCNQ5,yellow,yellow,0.042073504,0.000738689,-0.179819682,0.449871336,-0.085902327,-0.003256051,-0.073517849,0.045258333,-0.042625608,-0.032014302,-0.110884873,-0.052556878
CPE,brown,brown,-0.023538269,0.04496839,0.006021745,0.024470111,-0.080061448,0.111111547,-0.066126953,-0.024871055,0.361165252,-0.047015891,-0.173055646,-0.112904887
CYTOR,brown,brown,-0.05898543,-0.130870702,-0.241457889,0.125925713,-0.480448586,0.6427831,0.148292993,-0.068928761,0.036343886,-0.023907285,0.155520497,-0.297537852
ARAP2,yellow,yellow,-0.003583663,-0.018584503,-0.082012424,0.208160429,-0.106592712,0.099123946,0.113008113,0.0309124,-0.136517043,-0.008154034,0.128349175,-0.037855228
ITGBL1,brown,brown,-0.081662217,-0.010197889,-0.149580326,0.174631784,-0.264317589,0.449808396,-0.035847683,0.00526308,0.06883414,-0.0105832,0.016269957,-0.301025246
AL078604.4,blue,blue,-0.060331436,0.35885964,-0.111371043,0.117029153,-0.311644822,0.358006738,0.494770108,-0.099575031,-0.058935582,-0.286787215,0.096952561,-0.026141796
HS3ST2,yellow,yellow,0.007584565,-0.029169446,-0.067290523,0.113693081,-0.065993884,0.029813601,-0.033993865,0.04799213,0.023080877,0.032528376,-0.063209164,-0.032740848
ITGA4,black,black,0.053458007,-0.012856579,-0.013291406,0.016954485,0.02756567,-0.041602174,-0.056845209,0.197675409,-0.022723931,0.07279989,-0.030297965,-0.001811577
LAMA2,turquoise,turquoise,-0.137732784,0.172471828,0.404416715,-0.474956214,0.528162229,-0.28068741,-0.043274557,-0.145545434,-0.076901378,0.073266386,0.170870136,0.065731637
PIK3R3,yellow,yellow,0.061243134,0.004283724,-0.181109374,0.500009369,-0.092121138,-0.009242458,-0.041069426,0.048807721,-0.042462778,-0.042543491,-0.122534814,-0.00820199
ADAMTS3,brown,brown,-0.031222753,0.105626745,-0.0687139,0.053857958,-0.175428403,0.216814725,0.20916847,0.052945446,-0.091732637,-0.073252964,0.055307113,-0.101582914
GUCY1A2,brown,brown,-0.044081853,0.030953759,-0.054550679,0.039206844,-0.08498428,0.146743051,-0.096110044,-0.033766266,0.470455631,-0.073591962,-0.18438017,-0.142222441
SEMA3C,brown,brown,-0.049636796,-0.090505043,-0.302891425,0.427090557,-0.357943985,0.411840542,-0.181912268,0.034151731,0.424783147,-0.092457534,-0.306964153,-0.324358946
TM4SF1,brown,brown,0.068270778,-0.088339762,-0.02882696,-0.051934529,-0.128467509,0.159018027,0.042546961,-0.025807013,-0.086847041,0.076317797,0.139713636,-0.062010722
SLIT2,brown,brown,-0.119335093,-0.030191177,-0.02195005,0.028871073,-0.168536279,0.287203096,0.308166489,-0.018418179,-0.193759543,-0.066730805,0.250707791,0.093595785
SPAG17,brown,brown,-0.086371624,0.072208177,0.050331932,-0.113588688,-0.068004715,0.235281487,0.170693063,-0.111427559,0.059878183,-0.078365445,0.136273446,-0.119357157
BCAT1,yellow,yellow,0.046021992,-0.024664072,-0.19261808,0.606414979,-0.064923182,-0.039417199,-0.159689493,0.051111386,-0.010702618,-0.001465948,-0.148037426,-0.074363699
MYLPF,green,green,0.043852782,-0.009527091,0.057503473,-0.031130088,0.02727495,-0.011095546,0.013694076,-0.008735189,-0.026627479,0.088692684,0.045171764,0.03696399
IQGAP2,black,black,0.061251313,-0.036312025,-0.112487487,0.003071855,-0.015965085,-0.076139119,-0.088182828,0.377331185,-0.029011772,0.028043967,-0.066768301,-0.011990731
PDE3A,brown,brown,-0.062672882,-0.074076469,-0.088271801,0.063887275,-0.175718122,0.311887889,0.040094351,-0.025400736,-0.060290911,0.088625932,0.087232542,-0.142840587
PLA2G2A,yellow,yellow,0.031616848,0.020676204,-0.271305354,0.582257309,-0.246558523,0.132804891,-0.089254532,0.040222353,0.043389143,-0.174266567,-0.290450976,-0.15327023
TSHZ2,brown,brown,0.007871181,-0.021926304,-0.136140205,0.138956189,-0.137394026,0.150944676,-0.045413439,0.162155692,0.102322408,0.018280255,-0.15738637,-0.142201244
EDIL3,yellow,yellow,-0.006941975,-0.061100351,-0.130254403,0.245615565,-0.105119426,0.06837399,-0.127179075,0.065074317,0.102970264,0.114054412,-0.110425093,-0.078918281
AC024230.1,turquoise,turquoise,-0.061648562,0.001029464,0.156204944,-0.158807706,0.185905782,-0.109959424,0.039407894,-0.083561989,-0.082892767,0.069265039,0.093714264,0.09312126
ATP1B3,brown,brown,-0.055289103,-0.208630971,-0.121489315,-0.035542053,-0.353333047,0.46927477,0.311590197,-0.096397537,-0.085722957,-0.112779049,0.212714665,-0.009176711
DMD,purple,purple,-0.030804702,0.102380832,0.11825988,-0.135289043,0.11285657,0.038393759,0.092418651,-0.072503131,-0.089395828,0.022995582,0.178421801,-0.022094915
MYPN,yellow,yellow,0.057091575,-0.028558571,-0.288020578,0.737638902,-0.157736351,0.031917598,-0.122960583,0.070831769,-0.068052393,-0.061262141,-0.154085462,-0.111660396
EREG,yellow,yellow,0.060761736,-0.031204793,-0.241680945,0.605681389,-0.131612324,0.030770326,-0.107472884,0.060365569,-0.057037633,-0.056571893,-0.139810368,-0.10577537
RRAD,brown,brown,-0.018307717,-0.022757778,-0.001758514,0.024666496,-0.07680408,0.101878775,0.03309476,-0.012275788,0.045284289,-0.033683814,-0.017779054,-0.000544476
GPAT3,pink,pink,0.087654385,-0.036928994,-0.021924012,-0.008279789,-0.034915628,0.005741394,-0.037898595,0.003060781,-0.013792033,0.004142259,-0.003720563,-0.012374963
WARS,yellow,yellow,0.346241296,-0.016303649,-0.121622898,0.219256102,-0.078174281,-0.011595569,-0.040530036,0.024977437,-0.022777274,-0.030184161,-0.0586476,-0.030387421
HLA-DRA,pink,pink,0.345580547,-0.041561354,-0.073522157,0.03256039,-0.005420386,-0.070849132,-0.092691867,0.105953143,-0.05253529,0.075212574,-0.040325305,-0.002372994
ITGAX,pink,pink,0.087288538,-0.009399383,-0.024111387,0.009522494,-0.015920968,-0.0079213,-0.004234125,0.00888118,-0.014366515,-0.004559222,-0.008722319,6.97E-05
CA8,pink,pink,0.348629694,-0.016933759,-0.052002205,0.002570742,-0.026598928,-0.02931825,-0.017529018,-0.0020755,-0.031594837,-0.027867047,-0.00951874,-0.001017016
CAMK4,green,green,-0.017918096,-0.027553238,0.027370282,-0.012272102,0.019590189,0.008521758,-0.020587708,0.089427528,-0.032938398,0.088430426,0.050827848,0.021044653
KCND2,turquoise,turquoise,-0.061778623,0.008594884,0.173702024,-0.135819646,0.203622563,-0.085169698,-0.024148552,-0.07495325,0.033313153,0.131688242,0.080170319,0.056595781
PRKG1,green,green,-0.057921663,-0.016690349,0.076909478,0.056221922,0.10464712,0.029915579,-0.003020541,-0.079513398,-0.129920972,0.19777949,0.164761334,0.026187598
HOMER1,brown,brown,-0.066212147,-0.081695769,-0.126855135,0.163039755,-0.208446037,0.274744206,0.192484812,-0.003219423,-0.147266592,0.025001337,0.167871463,-0.013968533
AL512603.2,turquoise,turquoise,-0.015139639,0.0709078,0.083693819,0.019010919,0.123011196,-0.086190228,-0.038484208,-0.011116011,0.007365745,0.027028547,-0.006217395,0.04702458
NOVA1,turquoise,turquoise,-0.098934821,0.041082034,0.262861914,-0.215810571,0.361356978,-0.279487169,-0.162461458,-0.142248307,0.191461085,-0.032531366,-0.096349351,0.01867639
ERG,pink,pink,0.835108443,-0.050077034,-0.167818677,-0.009256171,-0.080737065,-0.094387307,-0.071452528,0.029767578,-0.081729424,-0.03734454,-0.058116677,-0.007265419
HDAC9,black,black,0.148589714,-0.032966625,-0.086619391,0.024940173,-0.024458386,-0.063905223,-0.087959347,0.314764433,-0.029483288,0.102325001,-0.059988453,-0.01454404
VEGFC,yellow,yellow,0.048832221,-0.049116254,-0.264137407,0.695950511,-0.159941312,0.051168187,-0.137308497,0.068852226,-0.056567986,-0.004283076,-0.136204114,-0.09699321
LINC02388,blue,blue,0.007404517,0.1917073,0.044660102,0.007105399,0.049550833,-0.044260219,-0.022244216,0.008450692,0.041260559,0.005304348,-0.045461736,-0.049596733
GLIS3,brown,brown,-0.064512699,-0.068678344,-0.261850703,0.150830765,-0.454124279,0.577234021,0.034561267,-0.043657259,0.115983095,-0.182225036,-0.15798871,-0.33098961
PIK3R5,pink,pink,0.217360595,-0.01709737,-0.049167588,-0.001666744,-0.025089734,-0.028867561,-0.021375554,0.021614122,-0.023776933,-0.005050525,-0.019951578,-0.004688219
PITPNC1,brown,brown,0.080787227,-0.072145038,-0.084110696,0.047178876,-0.107549707,0.196513985,0.065312632,-0.043061222,-0.021380882,0.005161641,0.076782715,-0.073508621
ARHGAP15,yellow,yellow,0.066373899,0.003026293,-0.201375867,0.450869289,-0.092485652,-0.009988303,-0.10828096,0.065754214,-0.056150058,-0.022812311,-0.121077151,-0.084001711
CXCL1,brown,brown,-0.038203036,-0.08260421,-0.212641611,0.300451627,-0.320416111,0.407705756,0.042191171,-0.047140016,0.221007787,-0.159125165,-0.139173324,-0.213366241
ENPEP,brown,brown,-0.010326853,0.010697639,-0.019283957,-0.003784687,-0.045954749,0.070069236,0.022967063,-0.007185922,0.002907734,-0.023899815,-0.005712637,-0.036234463
DTNA,turquoise,turquoise,0.008057248,-0.01412543,0.022760323,-0.004112565,0.061448743,-0.050517421,-0.034657106,0.014354453,-0.021214227,0.03249298,0.002602954,0.023468401
LRP1B,yellow,yellow,-0.037817923,0.034798153,-0.010500171,0.241108656,0.04759109,-0.029326463,0.073692542,-0.065345016,-0.234848489,-0.093095268,0.065621838,0.016425701
