Table S2 Pseudobulk differential expression results across all cell types,,,,,,,,,,
gene,celltype,avg_log2FC,AveExpr,t,p_val,p_val_adj,B,n_Young,n_Aged,direction
AL033523.1,FAP1,1.711868713,5.486980226,5.402371544,0.000135224,0.039832601,1.242559378,5,5,Up
AC104758.5,FAP1,2.237880245,0.538039914,5.388498001,0.000138402,0.039832601,1.170841952,5,5,Up
PER1,FAP1,-1.644824698,5.643600532,-5.387869117,0.000138548,0.039832601,1.206430755,5,5,Down
GRM7,FAP1,-2.480693877,5.910044056,-5.361320119,0.000144857,0.040889176,1.165457902,5,5,Down
STEAP2-AS1,FAP1,1.949385704,2.303130308,5.338933315,0.000150411,0.041194608,1.246887149,5,5,Up
HAND2,FAP1,-2.947943692,1.039612996,-5.301840101,0.000160111,0.041194608,1.113936088,5,5,Down
MPPED2,FAP1,1.393922812,3.41946366,5.30017789,0.00016056,0.041194608,1.146162961,5,5,Up
PLA2G2A,FAP1,3.934834118,3.752066283,5.298347236,0.000161057,0.041194608,1.177113077,5,5,Up
L3MBTL4,FAP1,6.184407902,1.590414416,5.291525811,0.000162923,0.041194608,0.993949612,5,5,Up
ITM2C,FAP1,-1.248633129,4.735432926,-5.281269818,0.00016577,0.041194608,1.045724417,5,5,Down
SUSD4,FAP1,-2.050997944,3.28275804,-5.275426448,0.000167416,0.041194608,1.112814974,5,5,Down
PPDPF,FAP1,-1.380412258,3.842307434,-5.267242857,0.00016975,0.041194608,1.062505733,5,5,Down
ARL4C,FAP1,1.671305082,3.057402074,5.265259446,0.00017032,0.041194608,1.107315936,5,5,Up
CGNL1,FAP1,1.223237218,4.927955943,5.257839663,0.000172473,0.041194608,1.00824179,5,5,Up
AC009262.1,FAP1,1.895467347,4.425732545,5.243799265,0.000176626,0.041547204,1.008115248,5,5,Up
OAS3,FAP1,3.604538434,0.014496912,5.206872391,0.000188055,0.042555362,0.810234119,5,5,Up
THEGL,FAP1,1.880756026,1.4126053,5.202231394,0.000189545,0.042555362,1.004095647,5,5,Up
ANK3,FAP1,-4.537722815,0.137309677,-5.190674115,0.00019331,0.042555362,0.815720098,5,5,Down
ELMOD1,FAP1,-2.517896887,1.776945268,-5.184289704,0.000195424,0.042555362,0.998767798,5,5,Down
PRDM16,FAP1,3.459752502,-0.147085463,5.178614599,0.000197323,0.042555362,0.76104327,5,5,Up
AL445250.1,FAP1,-1.571417366,7.928580371,-5.175022082,0.000198535,0.042555362,0.859343021,5,5,Down
PTGDR2,FAP1,-2.736021215,1.609839704,-5.168855405,0.000200634,0.042555362,0.966833125,5,5,Down
PDLIM3,FAP1,-6.332546581,0.490211827,-5.16042578,0.00020354,0.042555362,0.786928815,5,5,Down
TMEM255A,FAP1,2.333117404,2.058411286,5.15458099,0.000205581,0.042555362,0.952790238,5,5,Up
DKK3,FAP1,-1.79375164,3.646300933,-5.142843047,0.000209746,0.04284611,0.867746666,5,5,Down
APCDD1L-DT,FAP1,-1.557043493,5.463694491,-5.126696764,0.000215619,0.043473844,0.767625986,5,5,Down
EPHA2,FAP1,2.207832966,1.277584372,5.099484357,0.00022591,0.044964854,0.829738338,5,5,Up
ICAM4,FAP1,4.396297415,2.198817805,5.067702244,0.000238584,0.045974917,0.792837877,5,5,Up
LMO3,FAP1,2.334281246,2.574720178,5.063353479,0.000240375,0.045974917,0.802865278,5,5,Up
PLPPR5,FAP1,-1.747542168,2.754261291,-5.061745448,0.000241041,0.045974917,0.778366332,5,5,Down
CRISPLD1,FAP1,-2.110241073,3.202709325,-5.053481444,0.000244493,0.045974917,0.746247174,5,5,Down
TBX18,FAP1,1.258342649,6.170196987,5.050405262,0.000245792,0.045974917,0.633390943,5,5,Up
CAMKK1,FAP1,-1.842170703,3.240357887,-5.043272726,0.00024883,0.045989124,0.723444058,5,5,Down
PBK,FAP1,1.678006247,3.778030187,5.029256154,0.000254916,0.04610437,0.677130956,5,5,Up
SLC2A13,FAP1,-1.099276228,8.312786408,-5.028171514,0.000255393,0.04610437,0.615792767,5,5,Down
AL513166.1,FAP1,1.054945178,5.934529494,5.014821854,0.000261345,0.046108067,0.572610396,5,5,Up
PDZRN4,FAP1,2.260555638,7.416096191,5.014804373,0.000261353,0.046108067,0.586588718,5,5,Up
CNTN3,FAP1,2.594228865,2.336486165,5.008023965,0.000264432,0.046127052,0.719082255,5,5,Up
RSPO3,FAP1,1.714421083,3.491781051,4.997411117,0.000269327,0.046458965,0.643305189,5,5,Up
LGI4,FAP1,1.613359515,2.789806468,4.990458579,0.000272586,0.046504291,0.674143026,5,5,Up
CNTFR,FAP1,2.472894704,2.627613716,4.943564395,0.000295666,0.049893606,0.609644611,5,5,Up
LYRM1,FAP1,1.25858735,5.43548211,4.936582662,0.000299273,0.049959267,0.447417982,5,5,Up
PER1,FAP2,-1.909434013,5.922409512,-6.960775523,1.24E-05,0.04749785,3.490911291,5,5,Down
ZBTB7C,FAP2,1.90279982,5.014936915,6.761403005,1.66E-05,0.04749785,2.807583882,5,5,Up
AL445250.1,FAP2,-2.369441953,5.90963995,-6.653287374,1.95E-05,0.04749785,3.08302435,5,5,Down
SHOX,FAP3,-3.35452081,4.873852589,-8.234720366,7.09E-07,0.003627746,5.623886898,5,5,Down
RNF150,FAP3,-3.395111075,4.300631894,-7.931634524,1.12E-06,0.003627746,4.926732829,5,5,Down
AC004160.1,FAP3,2.751964721,5.52110722,7.514961426,2.13E-06,0.004604714,5.068734435,5,5,Up
MAP3K5,FAP3,-1.761254974,6.119726045,-7.302727589,2.98E-06,0.004835337,4.857858449,5,5,Down
HPSE2,FAP3,3.186441868,5.865187896,6.92663931,5.49E-06,0.006797557,4.259283026,5,5,Up
KAZN,FAP3,2.120801196,8.825319774,6.734217989,7.55E-06,0.006797557,4.014516986,5,5,Up
DKK2,FAP3,3.824219934,3.950988829,6.678711361,8.29E-06,0.006797557,2.822589661,5,5,Up
NR1D2,FAP3,-2.00907162,6.431609571,-6.673000389,8.37E-06,0.006797557,3.905797283,5,5,Down
LUCAT1,FAP3,2.94710383,6.189964611,6.419491398,1.29E-05,0.009163983,3.483541459,5,5,Up
LRP1B,FAP3,3.828294552,7.677488463,6.366943179,1.41E-05,0.009163983,3.415889488,5,5,Up
EPHA6,FAP3,4.151485857,5.086450638,6.153902002,2.04E-05,0.011287153,2.79935147,5,5,Up
PLCB4,FAP3,-3.574266275,4.281164943,-6.142611527,2.09E-05,0.011287153,2.839230303,5,5,Down
AMPD3,FAP3,3.626365929,5.216808276,5.956720165,2.90E-05,0.013711086,2.628595355,5,5,Up
AC109927.1,FAP3,1.915571156,5.354029117,5.945692538,2.95E-05,0.013711086,2.695452097,5,5,Up
PLA2G2A,FAP3,2.630394418,7.110896206,5.881787735,3.31E-05,0.014346681,2.603518653,5,5,Up
COTL1,FAP3,1.531677574,5.417441345,5.632527609,5.20E-05,0.02104601,2.172877735,5,5,Up
ERI2,FAP3,2.33534734,7.339273401,5.601282805,5.51E-05,0.02104601,2.10765146,5,5,Up
IGFBP3,FAP3,-1.273946951,6.256763577,-5.553404635,6.01E-05,0.021701684,2.034682784,5,5,Down
ADM,FAP3,1.553186378,5.806982589,5.504338497,6.58E-05,0.022503243,1.955862629,5,5,Up
ISM1,FAP3,2.174807076,5.652132639,5.424433246,7.63E-05,0.022843406,1.817167366,5,5,Up
GAS6,FAP3,1.54821822,6.585655551,5.412056265,7.81E-05,0.022843406,1.780444451,5,5,Up
CXCL2,FAP3,1.719977042,9.882127317,5.382345083,8.25E-05,0.022843406,1.685620925,5,5,Up
EFCAB13,FAP3,1.523265734,6.240319319,5.374607849,8.37E-05,0.022843406,1.720542166,5,5,Up
PER1,FAP3,-1.699960388,5.82064227,-5.340154795,8.93E-05,0.022843406,1.66816025,5,5,Down
