tf,gene,Gain,Cover,Frequency,Cor,is_brown_hub_label
SMAD3,TMTC1,0,0,0,-0.152861584877676,FALSE
SMAD3,CEMIP,0,0,0,-0.071518479674388,FALSE
SMAD3,MEDAG,0.139370626808556,0.09,0.09,0.598939439540581,TRUE
SMAD3,A2M,0.0683554245912227,0.052,0.052,-0.309261910504241,FALSE
SMAD3,ABLIM3,0,0,0,-0.247795701662344,FALSE
SMAD3,NFATC2,0,0,0,-0.148276618186904,FALSE
SMAD3,PRICKLE1,0.00584105470244873,0.014,0.014,-0.200534583954851,FALSE
SMAD3,SNX9,0,0,0,0.137647149935086,FALSE
SMAD3,COL6A6,0.0122605718107594,0.02,0.02,-0.313359479880244,FALSE
SMAD3,GIPR,0.0846318077918156,0.0748112560054907,0.0748112560054907,-0.20418323433472,FALSE
SMAD3,CMTM8,0,0,0,-0.120581783493168,FALSE
SMAD3,GK,0,0,0,-0.0493646152228042,FALSE
SMAD3,COL1A1,0.0845628759008025,0.056,0.056,-0.318201961682398,FALSE
SMAD3,LGR4,0,0,0,-0.0457532874788881,FALSE
SMAD3,ADPRHL1,0,0,0,-0.0266672235558281,FALSE
SMAD3,DLG2,0.0173366204226973,0.034,0.034,0.294003111889913,FALSE
SMAD3,IL18R1,0,0,0,0.0531225816567688,FALSE
SMAD3,FST,0.0753356143871507,0.072,0.072,0.436415792052246,FALSE
SMAD3,GPRIN3,0.00881083948897734,0.0177560657873311,0.0177560657873311,-0.0928788009466544,FALSE
SMAD3,AGPAT4,0.0469707797336459,0.078,0.078,-0.26600037463445,FALSE
SMAD3,CAMK2D,0,0,0,0.246517165874881,FALSE
SMAD3,GADL1,0.019766011684622,0.034,0.034,-0.122174986707164,FALSE
SMAD3,TPD52L1,0.0968958677387843,0.06,0.06,-0.249287400926313,FALSE
SMAD3,CNKSR2,0,0,0,-0.292854719884454,FALSE
SMAD3,SP140,0,0,0,0.0102220697246384,FALSE
SMAD3,RAPGEF1,0.0126733764611391,0.032,0.032,0.148766251866656,FALSE
SMAD3,MPPED2,0,0,0,0.0234034956821396,FALSE
SMAD3,CRTAC1,0,0,0,-0.106028028287976,FALSE
SMAD3,GCH1,0.0486228498404187,0.04,0.04,0.234349465466675,FALSE
SMAD3,EML4,0.157976311659896,0.076,0.076,0.632538415364559,FALSE
SMAD3,PARP14,0.00628442599772655,0.026,0.026,0.318127597783942,FALSE
SMAD3,FAM162B,0.00299656249696968,0.008,0.008,-0.292528111800627,FALSE
SMAD3,TENM4,0,0,0,-0.206075391379542,FALSE
SMAD3,GTF2IRD1,0,0,0,-0.0874153086065016,FALSE
SMAD3,SNTB1,0,0,0,-0.22689972162553,FALSE
SMAD3,COL24A1,0,0,0,-0.0894060713618096,FALSE
SMAD3,DOCK5,0.0284078489171854,0.044,0.044,-0.407263451055173,FALSE
SMAD3,WWOX,0,0,0,-0.112579581730737,FALSE
SMAD3,PTGR1,0.00437534180932582,0.012,0.012,-0.214314001588138,FALSE
SMAD3,HIVEP2,0.116991822309793,0.058,0.058,0.51257335143385,FALSE
SMAD3,LRRN1,0.0023623750153957,0.002,0.002,-0.0667954514647681,FALSE
SMAD3,XRCC4,0.0011088113010358,0.006,0.006,-0.140004828136447,FALSE
SMAD3,PLCG2,0,0,0,-0.185220701396661,FALSE
SMAD3,FRMD6,0,0,0,-0.0105543358495998,FALSE
SMAD3,COL27A1,0.00113524782022652,0.004,0.004,0.0208760513610316,FALSE
SMAD3,USP13,0,0,0,0.037809261418397,FALSE
SMAD3,TRIO,0.0334930972643045,0.076,0.076,0.511472796514966,TRUE
SMAD3,CAV1,0,0,0,0.0817892925798493,FALSE
SMAD3,ALG9,0.0241155041440673,0.0424242424242424,0.0424242424242424,-0.135849149518086,FALSE
SMAD3,INPP5F,0.000436863373436354,0.002,0.002,-0.195967330589138,FALSE
SMAD3,ZNF251,0,0,0,-0.13356914576112,FALSE
SMAD3,C5AR1,0.0134082297407414,0.024,0.024,0.335627399163346,FALSE
SMAD3,GNG7,0,0,0,-0.0955642155067538,FALSE
SMAD3,RNF122,0.00708467303218805,0.02,0.02,0.120871114191844,FALSE
SMAD3,CCDC7,0.0146764675822617,0.02,0.02,-0.400486360319276,FALSE
SMAD3,PDGFA,0,0,0,-0.0879179318440543,FALSE
SMAD3,PTGFR,0.00813859587814443,0.03,0.03,0.130652505497338,FALSE
SMAD3,HIVEP1,0.166468757600034,0.096,0.096,0.513311981831543,FALSE
SMAD3,ZNRF2,0,0,0,-0.170894921705083,FALSE
SMAD3,CHD7,0.00640980730099428,0.028,0.028,0.21839392426181,FALSE
SMAD3,SEC22A,0,0,0,-0.266736314480676,FALSE
SMAD3,AHRR,0.0125164860735962,0.04,0.04,0.00433905864178888,FALSE
SMAD3,GRK5,0.0194981830934062,0.04,0.04,0.0106161699457421,FALSE
SMAD3,HIST1H2BJ,0,0,0,-0.26360101751326,FALSE
SMAD3,ICAM4,0.0580864336400403,0.038,0.038,0.359020560190697,FALSE
SMAD3,CAPS2,0,0,0,-0.315630717610066,FALSE
SMAD3,MIPOL1,0.00483756098575842,0.014,0.014,-0.024830376477654,FALSE
SMAD3,FGGY,0.00143832374569032,0.004,0.004,0.113277756430677,FALSE
SMAD3,KCTD1,0,0,0,-0.00724155221771372,FALSE
SMAD3,NDNF,0.0477777814400574,0.036,0.036,-0.175871991900399,FALSE
SMAD3,METTL15,0.00695852111466365,0.02,0.02,-0.417926733710495,FALSE
SMAD3,ZDBF2,0.0139554796242929,0.028,0.028,0.0839491595689505,FALSE
SMAD3,SLC22A15,0.013366144238956,0.018,0.018,-0.358629613173974,FALSE
SMAD3,SLC38A9,0.00264038705497239,0.02,0.02,-0.239990690998419,FALSE
SMAD3,CCDC171,0,0,0,-0.163851003519112,FALSE
SMAD3,IGFBP2,0,0,0,-0.0456552786085363,FALSE
SMAD3,TNS3,0,0,0,-0.0228160243929598,FALSE
SMAD3,ACADL,0,0,0,-0.103304788435056,FALSE
SMAD3,STK32A,0.000453971613378083,0.002,0.002,-0.143837625839206,FALSE
SMAD3,OSBPL8,0.0170177365445313,0.016,0.016,0.21647578236256,FALSE
SMAD3,MAPK8,0,0,0,0.137985283836859,FALSE
SMAD3,APAF1,0.0057620155936986,0.032,0.032,-0.194783244235136,FALSE
SMAD3,PTCH2,0,0,0,0.100815405282375,FALSE
SMAD3,APLF,0,0,0,-0.218500683277967,FALSE
SMAD3,ACACB,0,0,0,-0.196621523024904,FALSE
SMAD3,FBXL17,0,0,0,-0.173231079236542,FALSE
SMAD3,HIST1H2AC,0.00851458202294674,0.032,0.032,-0.274641587231072,FALSE
SMAD3,OGN,0.0674454898896341,0.034,0.034,-0.337862654145768,FALSE
SMAD3,RGMA,0,0,0,-0.36059945885938,FALSE
SMAD3,JAM2,0.0424703740052987,0.02,0.02,-0.240888885518107,FALSE
SMAD3,STXBP5,0,0,0,-0.275574907649171,FALSE
SMAD3,ACYP2,0,0,0,-0.128164674086165,FALSE
SMAD3,DOCK11,0,0,0,-0.255306854838367,FALSE
SMAD3,TNIP1,0,0,0,-0.0872266203461266,FALSE
SMAD3,BMP2K,0.00159822043889219,0.006,0.006,-0.036037277393591,FALSE
SMAD3,PRKD2,0,0,0,-0.0574097541406225,FALSE
SMAD3,ZNRF3,0.0610700738857649,0.036,0.036,0.321330190595174,FALSE
SMAD3,MYO5C,0.000673916028083034,0.00202020202020202,0.00202020202020202,-0.195397517729948,FALSE
SMAD3,TJP1,0,0,0,0.132266877080934,FALSE
SMAD3,TLN2,0,0,0,-0.176929367539777,FALSE
SMAD3,SUFU,0.00128351670343325,0.006,0.006,-0.10444335848953,FALSE
SMAD3,AKAP7,0,0,0,-0.212752118610414,FALSE
SMAD3,CGNL1,0.0033716364616874,0.01,0.01,0.214485641993142,FALSE
SMAD3,FBLN5,0,0,0,-0.080027611946212,FALSE
SMAD3,IL34,0.199949184016219,0.12,0.12,-0.287424352268045,FALSE
SMAD3,PPP1R13L,0,0,0,0.0565774830980187,FALSE
SMAD3,PARN,0.000567806279356196,0.004,0.004,-0.220188247683853,FALSE
SMAD3,IL4R,0.0426603066389459,0.024,0.024,0.319903848751637,FALSE
SMAD3,EPHA2,0.0752442883283637,0.0457477305303392,0.0457477305303392,0.223904276212272,FALSE
SMAD3,WNT5A,0.000592398135541216,0.002,0.002,-0.141978585885393,FALSE
SMAD3,HEATR5B,0,0,0,-0.262798007902828,FALSE
SMAD3,IER5,0,0,0,-0.0303254220670696,FALSE
SMAD3,STX7,0.0810503823350587,0.028,0.028,-0.401889801130767,FALSE
SMAD3,KIAA0586,0,0,0,-0.0322022487690352,FALSE
SMAD3,UGCG,0,0,0,0.0943099515671856,FALSE
SMAD3,MPP5,0,0,0,0.22617060672281,FALSE
SMAD3,GALNT2,0.123562763734538,0.068,0.068,0.607008364728888,FALSE
SMAD3,SLC39A10,0.00187034484387502,0.006,0.006,-0.200769808932636,FALSE
SMAD3,MTM1,0.1627465821864,0.044,0.044,-0.324004062828773,FALSE
SMAD3,EIF2AK3,0,0,0,0.0127282853224509,FALSE
SMAD3,WDFY1,0.220646203527711,0.114,0.114,-0.278431328255232,FALSE
SMAD3,VASH2,0.00931104676388516,0.014,0.014,0.127317295899451,FALSE
SMAD3,DHX57,0.000519810311437071,0.002,0.002,-0.21359935009985,FALSE
SMAD3,EXOC2,0.00029602467036553,0.002,0.002,-0.334282385877446,FALSE
SMAD3,STK38,0.00549730974213628,0.02,0.02,-0.0997366220634547,FALSE
SMAD3,TIPARP,0.000543568158907372,0.002,0.002,0.145062566010314,FALSE
SMAD3,CEP295,0,0,0,-0.264335263729742,FALSE
SMAD3,GPC4,0.0112596924890195,0.016,0.016,-0.260528706812989,FALSE
SMAD3,DZIP1,0,0,0,-0.146115796885242,FALSE
SMAD3,EED,0.0169099068036128,0.014,0.014,0.248898057865187,FALSE
SMAD3,DZIP3,0.00271577244600614,0.01,0.01,-0.123735571058515,FALSE
