study,tissue,gene,nsnps,pph0,pph1,pph2,pph3,pph4,top_snp,top_snp_pph4
UKB,Adipose Subcutaneous,SMAD3,155,7.31513999841388e-07,3.659803284731e-05,0.00135114296107933,0.0666664528804717,0.931945074611601,rs10152595,0.219805295907168
FinnGen,Adipose Subcutaneous,SMAD3,159,3.37179186624411e-05,8.08184498352435e-05,0.0534964885445543,0.127406704465368,0.81898227062158,rs11315136,0.0564520993165492
