level,x,y,piece,group,nlevel,n,PANEL,fill,colour,linewidth,linetype,alpha,sample
2e-08,4356.078125,-1796.41150241769,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4344.1140364047,-1765.71606691919,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4325.74970291953,-1727.78645833333,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4312.50678661616,-1704.93611739712,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4304.43859267693,-1689.85684974747,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4281.11115105228,-1651.92724116162,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4268.93544823232,-1634.48562074429,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4255.64971586219,-1613.99763257576,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4228.07027192714,-1576.0680239899,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4225.36410984848,-1572.51831775881,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4201.37938645889,-1538.13841540404,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4181.79277146465,-1512.32385630818,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4173.49934314033,-1500.20880681818,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4146.46940767462,-1462.27919823232,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4138.22143308081,-1451.15217771941,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4120.60563280834,-1424.34958964646,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4094.65009469697,-1388.11161196946,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4093.57572401918,-1386.41998106061,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4068.97173194656,-1348.49037247475,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4051.07875631313,-1323.72493895687,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4042.53255267894,-1310.56076388889,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
2e-08,4015.75133541834,-1272.63115530303,1,-1-002-001,0.111111111111111,3378,1,#132B43,,0.5,1,0.5,1450Veh
