condition,pattern,pathway,cell_group,raw_score,row_scaled_score,cell_total_raw,pathway_total_raw,pathway_order,group_order
Young,outgoing,ICAM,Myogenic,0,0,0.652634884407937,0.0878998809152223,7,4
Young,outgoing,ICAM,Immune,0.00881752651648166,0.111498027385766,0.0465115406468754,0.0878998809152223,7,5
Young,outgoing,ICAM,Endothelial,0.0790823543987406,1,2.56108544701319,0.0878998809152223,7,6
Young,outgoing,ICAM,Vascular stromal,0,0,4.84262380150271,0.0878998809152223,7,7
Young,outgoing,TGFb,FAP3,0.0161269923059384,0.427839610028022,9.79124048551665,0.0818277581308158,8,1
Young,outgoing,TGFb,Other FAPs,0.00777318676265598,0.206218067828129,11.4860457442233,0.0818277581308158,8,2
Young,outgoing,TGFb,MuSC,0,0,4.77237219349636,0.0818277581308158,8,3
Young,outgoing,TGFb,Myogenic,0,0,0.652634884407937,0.0818277581308158,8,4
Young,outgoing,TGFb,Immune,0.0376940141303937,1,0.0465115406468754,0.0818277581308158,8,5
Young,outgoing,TGFb,Endothelial,0.0105978420004853,0.281154508082491,2.56108544701319,0.0818277581308158,8,6
Young,outgoing,TGFb,Vascular stromal,0.00963572293134238,0.25563005569027,4.84262380150271,0.0818277581308158,8,7
Young,outgoing,JAM,FAP3,0.00621203643002645,0.142691575057025,9.79124048551665,0.0559587834941173,9,1
Young,outgoing,JAM,Other FAPs,0,0,11.4860457442233,0.0559587834941173,9,2
Young,outgoing,JAM,MuSC,0.00621203643002645,0.142691575057025,4.77237219349636,0.0559587834941173,9,3
Young,outgoing,JAM,Myogenic,0,0,0.652634884407937,0.0559587834941173,9,4
Young,outgoing,JAM,Immune,0,0,0.0465115406468754,0.0559587834941173,9,5
Young,outgoing,JAM,Endothelial,0.0435347106340644,1,2.56108544701319,0.0559587834941173,9,6
Young,outgoing,JAM,Vascular stromal,0,0,4.84262380150271,0.0559587834941173,9,7
Young,outgoing,CDH5,FAP3,0,0,9.79124048551665,0.0259748099772517,10,1
Young,outgoing,CDH5,Other FAPs,0,0,11.4860457442233,0.0259748099772517,10,2
Young,outgoing,CDH5,MuSC,0,0,4.77237219349636,0.0259748099772517,10,3
Young,outgoing,CDH5,Myogenic,0,0,0.652634884407937,0.0259748099772517,10,4
Young,outgoing,CDH5,Immune,0,0,0.0465115406468754,0.0259748099772517,10,5
Young,outgoing,CDH5,Endothelial,0.0259748099772517,1,2.56108544701319,0.0259748099772517,10,6
Young,outgoing,CDH5,Vascular stromal,0,0,4.84262380150271,0.0259748099772517,10,7
Young,outgoing,CDH,FAP3,0,0,9.79124048551665,0.00414135762001763,11,1
Young,outgoing,CDH,Other FAPs,0,0,11.4860457442233,0.00414135762001763,11,2
Young,outgoing,CDH,MuSC,0.00414135762001763,1,4.77237219349636,0.00414135762001763,11,3
Young,outgoing,CDH,Myogenic,0,0,0.652634884407937,0.00414135762001763,11,4
Young,outgoing,CDH,Immune,0,0,0.0465115406468754,0.00414135762001763,11,5
Young,outgoing,CDH,Endothelial,0,0,2.56108544701319,0.00414135762001763,11,6
Young,outgoing,CDH,Vascular stromal,0,0,4.84262380150271,0.00414135762001763,11,7
