condition,source,target,interaction_weight,source_order,target_order,interaction_count,source_vertex_weight
Young,Myogenic,Myogenic,0.00414135762001763,4,4,2,0.652634884407937
Young,Myogenic,Immune,0.138298593653623,4,5,3,0.652634884407937
Young,Myogenic,Endothelial,0.0766215475606959,4,6,5,0.652634884407937
Young,Myogenic,Vascular stromal,0.115014616661491,4,7,5,0.652634884407937
Young,Immune,FAP3,0.0154455507667822,5,1,2,0.0465115406468754
Young,Immune,Other FAPs,0.0157313872139029,5,2,2,0.0465115406468754
Young,Immune,MuSC,0,5,3,0,0.0465115406468754
Young,Immune,Myogenic,0,5,4,0,0.0465115406468754
Young,Immune,Immune,0.0153346026661903,5,5,5,0.0465115406468754
Young,Immune,Endothelial,0,5,6,0,0.0465115406468754
Young,Immune,Vascular stromal,0,5,7,0,0.0465115406468754
Young,Endothelial,FAP3,0.371476125644003,6,1,8,2.56108544701319
Young,Endothelial,Other FAPs,0.455298804495416,6,2,10,2.56108544701319
Young,Endothelial,MuSC,0.422664693144568,6,3,14,2.56108544701319
Young,Endothelial,Myogenic,0.0246370518691302,6,4,7,2.56108544701319
Young,Endothelial,Immune,0.526007335887058,6,5,13,2.56108544701319
Young,Endothelial,Endothelial,0.328962405313831,6,6,14,2.56108544701319
Young,Endothelial,Vascular stromal,0.432039030659187,6,7,12,2.56108544701319
Young,Vascular stromal,FAP3,0.74763263927749,7,1,11,4.84262380150271
Young,Vascular stromal,Other FAPs,0.854110579875779,7,2,17,4.84262380150271
Young,Vascular stromal,MuSC,0.765952589964557,7,3,14,4.84262380150271
Young,Vascular stromal,Myogenic,0.0589727634304729,7,4,8,4.84262380150271
Young,Vascular stromal,Immune,0.852822966154749,7,5,11,4.84262380150271
Young,Vascular stromal,Endothelial,0.654195521352364,7,6,21,4.84262380150271
Young,Vascular stromal,Vascular stromal,0.908936741447297,7,7,21,4.84262380150271
