db_order	interaction_name	pathway_name
121	LAMA5_ITGA6_ITGB1	LAMININ
122	LAMB1_ITGA6_ITGB1	LAMININ
123	LAMB2_ITGA6_ITGB1	LAMININ
124	LAMB3_ITGA6_ITGB1	LAMININ
125	LAMC1_ITGA6_ITGB1	LAMININ
126	LAMC2_ITGA6_ITGB1	LAMININ
127	LAMC3_ITGA6_ITGB1	LAMININ
128	LAMA1_ITGA7_ITGB1	LAMININ
129	LAMA2_ITGA7_ITGB1	LAMININ
130	LAMA3_ITGA7_ITGB1	LAMININ
131	LAMA4_ITGA7_ITGB1	LAMININ
132	LAMA5_ITGA7_ITGB1	LAMININ
133	LAMB1_ITGA7_ITGB1	LAMININ
134	LAMB2_ITGA7_ITGB1	LAMININ
135	LAMB3_ITGA7_ITGB1	LAMININ
136	LAMC1_ITGA7_ITGB1	LAMININ
137	LAMC2_ITGA7_ITGB1	LAMININ
138	LAMC3_ITGA7_ITGB1	LAMININ
139	VTN_ITGA8_ITGB1	VTN
140	TNC_ITGA8_ITGB1	TENASCIN
141	TNR_ITGA8_ITGB1	TENASCIN
142	TNN_ITGA8_ITGB1	TENASCIN
143	TNXB_ITGA8_ITGB1	TENASCIN
144	TNC_ITGA9_ITGB1	TENASCIN
145	TNR_ITGA9_ITGB1	TENASCIN
146	TNN_ITGA9_ITGB1	TENASCIN
147	TNXB_ITGA9_ITGB1	TENASCIN
148	COL1A1_ITGA9_ITGB1	COLLAGEN
149	COL1A2_ITGA9_ITGB1	COLLAGEN
150	COL2A1_ITGA9_ITGB1	COLLAGEN
151	COL4A1_ITGA9_ITGB1	COLLAGEN
152	COL4A2_ITGA9_ITGB1	COLLAGEN
153	COL4A3_ITGA9_ITGB1	COLLAGEN
154	COL4A4_ITGA9_ITGB1	COLLAGEN
155	COL4A5_ITGA9_ITGB1	COLLAGEN
156	COL4A6_ITGA9_ITGB1	COLLAGEN
157	COL6A1_ITGA9_ITGB1	COLLAGEN
158	COL6A2_ITGA9_ITGB1	COLLAGEN
159	COL6A3_ITGA9_ITGB1	COLLAGEN
160	COL6A5_ITGA9_ITGB1	COLLAGEN
161	COL6A6_ITGA9_ITGB1	COLLAGEN
162	COL9A1_ITGA9_ITGB1	COLLAGEN
163	COL9A2_ITGA9_ITGB1	COLLAGEN
164	COL9A3_ITGA9_ITGB1	COLLAGEN
165	LAMA1_ITGA9_ITGB1	LAMININ
166	LAMA2_ITGA9_ITGB1	LAMININ
167	LAMA3_ITGA9_ITGB1	LAMININ
168	LAMA4_ITGA9_ITGB1	LAMININ
169	LAMA5_ITGA9_ITGB1	LAMININ
170	LAMB1_ITGA9_ITGB1	LAMININ
171	LAMB2_ITGA9_ITGB1	LAMININ
172	LAMB3_ITGA9_ITGB1	LAMININ
173	LAMC1_ITGA9_ITGB1	LAMININ
174	LAMC2_ITGA9_ITGB1	LAMININ
175	LAMC3_ITGA9_ITGB1	LAMININ
176	COL1A1_ITGA10_ITGB1	COLLAGEN
177	COL1A2_ITGA10_ITGB1	COLLAGEN
178	COL2A1_ITGA10_ITGB1	COLLAGEN
179	COL4A1_ITGA10_ITGB1	COLLAGEN
180	COL4A2_ITGA10_ITGB1	COLLAGEN
181	COL4A3_ITGA10_ITGB1	COLLAGEN
182	COL4A4_ITGA10_ITGB1	COLLAGEN
183	COL4A5_ITGA10_ITGB1	COLLAGEN
184	COL4A6_ITGA10_ITGB1	COLLAGEN
185	COL6A1_ITGA10_ITGB1	COLLAGEN
186	COL6A2_ITGA10_ITGB1	COLLAGEN
