Gene,Module,tissue,probeID,topSNP,b_SMR,se_SMR,p_SMR,FDR_cohortwide,p_HEIDI,nsnp_HEIDI
PLEKHA6,Blue,Cells_Cultured_fibroblasts,ENSG00000143850,rs4284303,-0.0912699,0.024976,0.0002578847,0.0404121212791444,0.6466655,20
SMAD3,Brown,Adipose_Subcutaneous,ENSG00000166949,rs7181556,-0.284526,0.0742909,0.0001281989,0.0244994845210526,0.4495781,12
