"","tf","p_val_positive","avg_log2FC_positive","p_val_adj_positive","p_val_negative","avg_log2FC_negative","p_val_adj_negative","avg_log2FC_deg","p_val_adj_deg","module","kME"
"1","SHOX",2.31070857616867e-124,-0.575835486242539,2.49556526226216e-122,8.56192055094947e-145,0.856445693102356,8.64753975645897e-143,-3.18844987217905,1.30279796204534e-24,"turquoise",0.146536135862519
"2","RORA",1.91886031138865e-82,-0.444143102449778,2.07236913629975e-80,4.46877589101844e-84,0.47231461578765,4.51346364992862e-82,-0.658739557531158,1.28290634972967e-22,"turquoise",0.287047042112498
"3","TBX18",3.51781998801483e-73,0.635552457151562,3.79924558705602e-71,1.46165685599776e-27,-0.356891892400167,1.47627342455773e-25,1.1278811867702,1.15415574284534e-06,"blue",0.137612948813499
"4","PPARA",5.00805310494525e-71,0.561209674237386,5.40869735334087e-69,1.1845617874428e-38,-0.4698265564457,1.19640740531723e-36,1.13035791706241,7.18885390869974e-08,"blue",0.373769959879367
"5","SMAD3",3.95412401425433e-67,0.626385313054055,4.27045393539468e-65,6.36333516678328e-52,-1.03723706378782,6.42696851845112e-50,1.10353564484201,3.22789771986868e-14,"brown",0.233330510884086
"6","KLF2",2.00189534239137e-59,-0.436913547779651,2.16204696978268e-57,9.78379243400071e-71,0.488036459326654,9.88163035834072e-69,-1.21090981785912,2.00643145292901e-12,"magenta",0.551585373439912
"7","GLIS3",3.92565155730928e-58,0.438014511060938,4.23970368189402e-56,1.40742529963793e-16,-0.309793621549227,1.42149955263431e-14,2.49244298628727,4.85294497469377e-57,"brown",0.577234021397068
"8","PKNOX2",4.72644099086337e-56,0.525063194512173,5.10455627013244e-54,3.98067389332244e-13,-0.361444012031404,4.02048063225567e-11,0.319975302307238,1,"red",0.127237057727396
"9","NFKB1",9.95959459402352e-55,0.387320945083792,1.07563621615454e-52,5.12451847664167e-09,-0.164163295985007,5.17576366140809e-07,0.173824751766832,1,"brown",0.619595602300002
"10","POU2F3",5.28428666042421e-49,0.546241259874561,5.70702959325814e-47,3.03454637217614e-05,-0.111052110637909,0.0030648918358979,1.55098881314896,0.00186062180068675,"blue",0.310910529835178
"11","ELK3",9.60169056883481e-47,0.42632890715698,1.03698258143416e-44,9.27269374292224e-39,-0.513427268631442,9.36542068035146e-37,0.607008606748414,0.169103428890839,"brown",0.189656135249736
"12","ETV6",5.61935196304455e-46,0.454276923208262,6.06890012008811e-44,0.00468168443650544,-0.187826891590457,0.472850128087049,0.617487468892835,0.0120489557535975,"red",0.313387790754538
"13","BCL6",7.06014372091825e-45,0.412494824982608,7.62495521859171e-43,4.05564929608418e-41,-0.387621675093818,4.09620578904502e-39,0.301234376061392,0.00215306153995898,"blue",0.307812477729593
"14","STAT1",7.8249714284472e-43,0.423848258815419,8.45096914272297e-41,1.95328319379161e-25,-0.38789874709885,1.97281602572952e-23,0.328436881055433,1,"blue",0.180259360196755
"15","RUNX3",6.96696139084375e-42,0.626721371792877,7.52431830211125e-40,0.0200521530024525,0.0495542459556404,1,2.57236246394152,1,"blue",0.109784292518665
"16","FOXC1",9.10554890882302e-40,0.290332938833955,9.83399282152886e-38,5.17121132835882e-13,-0.152545397993399,5.22292344164241e-11,0.438345115969835,1,"yellow",0.351167087405226
"17","SOX4",4.80309103008738e-38,0.464216748821265,5.18733831249437e-36,1.00106942741453e-36,-0.319488705633687,1.01108012168868e-34,0.144347110664469,1,"greenyellow",0.138311556096763
"18","ZNF331",3.28219274756121e-37,0.314061682682455,3.54476816736611e-35,1.03551920830573e-07,-0.160417833771222,1.04587440038879e-05,0.82905534290149,0.955114502311745,"red",0.384972349653436
