"","gene_name","module","color","kME_pink","kME_blue","kME_grey","kME_yellow","kME_turquoise","kME_brown","kME_red","kME_black","kME_greenyellow","kME_green","kME_purple","kME_magenta"
"SCMH1","SCMH1","turquoise","turquoise",-0.0340941731080353,-0.018749990830899,0.0979020299877273,-0.0419391161915568,0.169601495309626,-0.0747519141325917,-0.070075246161907,0.0296382748727275,-0.0361287595654345,0.0535431517897897,0.023568953344238,0.0117409565514398
"SIK3","SIK3","red","red",-0.0460320927404302,-0.194885294762773,-0.164521594260518,0.0560954447230568,-0.327820703778936,0.372565649507509,0.320988049578894,-0.00594387370348244,-0.0909374609026535,-0.105519830325295,0.183684564332462,0.0756245161129756
"RFWD3","RFWD3","brown","brown",-0.0290933407584647,-0.0345418421092436,0.0244480826790201,-0.0193511409948585,-0.0254008307662401,0.10090812650735,-0.000715358323044936,-0.0140299389675184,0.0245193793400192,-0.0298835040366138,-0.0110462323379746,-0.0645660705508575
"RREB1","RREB1","turquoise","turquoise",-0.0224706262979391,0.0558481090337086,0.141246682652659,-0.0228329779324893,0.209204097376026,-0.14547212441484,-0.0752862344586,0.0537589602280818,0.0441529237693906,0.0753191550495887,-0.0514574055996579,0.0519815744004944
"C1orf21","C1orf21","turquoise","turquoise",-0.0438781568783078,-0.0212925646630319,0.142387272635393,-0.1762028799752,0.176342054167318,-0.0213074825875825,0.00199447588823494,-0.0421394464961354,0.0678445504993766,0.0369770375018306,0.0880402759940882,0.044031779755992
"ZNF345","ZNF345","turquoise","turquoise",-0.00845945912274386,0.0891920852779036,0.088554444386488,-0.00534194920647523,0.122788020572802,-0.0932354293398741,-0.0275978910464261,-0.00727262916318977,0.016015729203227,0.0127070743581145,-0.0275317000102439,-0.0111687297082126
"ANAPC10","ANAPC10","turquoise","turquoise",-0.0231070406484173,0.0850451726608943,0.092254266044434,-0.00210948563098884,0.140836329274446,-0.0728529433967198,-0.0476337161085472,0.00584014135836244,0.0272234045141244,0.0315437962298709,-0.0287156475860975,-0.00926605917306305
"TUBA1A","TUBA1A","magenta","magenta",-0.015312577910581,-0.0327473588013584,0.156621902383765,-0.0739739777648856,0.142249381988815,-0.198868199035988,-0.0959181855223307,0.039243023394864,0.138025880109207,0.0968914112971146,-0.039155620486671,0.253091947939021
"BMT2","BMT2","turquoise","turquoise",-0.0193590839168417,0.00532816177461978,0.125557043679437,-0.0374954347674769,0.209940975465233,-0.145476873008647,-0.101978066278999,0.039930117763994,0.00989209257847858,0.0900394476432209,-0.0358565921859803,0.0432358384836297
"MTA3","MTA3","turquoise","turquoise",-0.0230542375880274,0.0369346141054079,0.152926253445071,-0.0585547361049451,0.242543741796328,-0.163283154159627,-0.0654850731935982,0.0430406056917203,0.00592075736084063,0.0777740500047498,-0.0238313282272198,0.0485291421569525
"AC022217.3","AC022217.3","turquoise","turquoise",-0.000254127187818946,0.0278748818439612,0.103590459088997,-0.0114614179337507,0.142066613619674,-0.187305704211441,-0.059981534511086,0.042317585735516,-0.0079401740003218,0.047073638604019,-0.00985429380048397,0.230504259515562
